Predator,Prey
Alle_alle,Sabinea_sp
Alle_alle,Fish_larvae
Fulmarus_glacialis,Apherusa_glacialis
Fulmarus_glacialis,Calanus_finmarchicus
Fulmarus_glacialis,Calanus_hyperboreus
Fulmarus_glacialis,Gammarus_wilkitzkii
Fulmarus_glacialis,Onisimus_glacialis
Fulmarus_glacialis,Onisimus_nanseni
Fulmarus_glacialis,Themisto_abyssorum
Fulmarus_glacialis,Themisto_libellula
Fulmarus_glacialis,Thysanoessa_inermis
Fulmarus_glacialis,Gonatus_fabricii
Fulmarus_glacialis,Ostracoda_indet
Fulmarus_glacialis,Pagurus_sp
Fulmarus_glacialis,Pandalus_borealis
Fulmarus_glacialis,Rossia_sp
Fulmarus_glacialis,Boreogadus_saida
Fulmarus_glacialis,Hippoglossoides_platessoides
Fulmarus_glacialis,Mallotus_villosus
Fulmarus_glacialis,Fish_larvae
Larus_hyperboreus,Boreogadus_saida
Larus_hyperboreus,Mallotus_villosus
Larus_hyperboreus,Alle_alle
Rissa_tridactyla,Thysanoessa_inermis
Rissa_tridactyla,Gonatus_fabricii
Rissa_tridactyla,Rossia_sp
Rissa_tridactyla,Boreogadus_saida
Rissa_tridactyla,Mallotus_villosus
Rissa_tridactyla,Clupea_ arengus
Rissa_tridactyla,Benthosema_glaciale
Rissa_tridactyla,Lumpenus_maculatus
Rissa_tridactyla,Thysanoessa_libella
Rissa_tridactyla,Pandalus_ borealis
Uria_lomvia,Boreogadus_saida
Uria_lomvia,Mallotus_villosus
Balaenoptera_acutorostrata,Clione_limacina
Balaenoptera_acutorostrata,Themisto_abyssorum
Balaenoptera_acutorostrata,Themisto_libellula
Balaenoptera_acutorostrata,Thysanoessa_inermis
Balaenoptera_acutorostrata,Thysanoessa_longicaudata
Balaenoptera_acutorostrata,Boreogadus_saida
Balaenoptera_acutorostrata,Lycodes_reticulatus
Balaenoptera_acutorostrata,Lycodes_seminudus
Balaenoptera_acutorostrata,Mallotus_villosus
Balaenoptera_acutorostrata,Fish_larvae
Balaenoptera_acutorostrata,Reinhardtius_hippoglossoides
Balaenoptera_physalus,Calanus_finmarchicus
Balaenoptera_physalus,Calanus_glacialis
Balaenoptera_physalus,Calanus_hyperboreus
Balaenoptera_physalus,Clione_limacina
Balaenoptera_physalus,Themisto_abyssorum
Balaenoptera_physalus,Themisto_libellula
Balaenoptera_physalus,Thysanoessa_inermis
Balaenoptera_physalus,Thysanoessa_longicaudata
Balaenoptera_physalus,Gonatus_fabricii
Balaenoptera_physalus,Boreogadus_saida
Balaenoptera_physalus,Mallotus_villosus
Balaenoptera_physalus,Fish_larvae
Balaenoptera_physalus,Fulmarus_glacialis
Cystophora_cristata,Gammarus_wilkitzkii
Cystophora_cristata,Themisto_abyssorum
Cystophora_cristata,Themisto_libellula
Cystophora_cristata,Thysanoessa_inermis
Cystophora_cristata,Thysanoessa_longicaudata
Cystophora_cristata,Gonatus_fabricii
Cystophora_cristata,Pandalus_borealis
Cystophora_cristata,Anarhichas_lupus
Cystophora_cristata,Boreogadus_saida
Cystophora_cristata,Hippoglossoides_platessoides
Cystophora_cristata,Liparis_fabricii
Cystophora_cristata,Liparis_gibbus
Cystophora_cristata,Mallotus_villosus
Delphinapterus_leucas,Gonatus_fabricii
Delphinapterus_leucas,Pandalus_borealis
Delphinapterus_leucas,Sabinea_sp
Delphinapterus_leucas,Sclerocrangon_ferox
Delphinapterus_leucas,Boreogadus_saida
Delphinapterus_leucas,Mallotus_villosus
Delphinapterus_leucas,Reinhardtius_hippoglossoides
Erignathus_barbatus,Gammarus_wilkitzkii
Erignathus_barbatus,Themisto_libellula
Erignathus_barbatus,Actiniaria_g_sp
Erignathus_barbatus,Astarte_sp
Erignathus_barbatus,Buccinum_sp
Erignathus_barbatus,Gonatus_fabricii
Erignathus_barbatus,Hyas_sp
Erignathus_barbatus,Molpadia_borealis
Erignathus_barbatus,Ophiura_sp
Erignathus_barbatus,Pagurus_sp
Erignathus_barbatus,Pandalus_borealis
Erignathus_barbatus,Polychaeta
Erignathus_barbatus,Polynoidae_indet
Erignathus_barbatus,Rossia_sp
Erignathus_barbatus,Sabinea_sp
Erignathus_barbatus,Scalibregma_inflatum
Erignathus_barbatus,Sclerocrangon_ferox
Erignathus_barbatus,Arctogadus_glacialis
Erignathus_barbatus,Boreogadus_saida
Erignathus_barbatus,Eumicrotremus_spinosus
Erignathus_barbatus,Hippoglossoides_platessoides
Erignathus_barbatus,Lumpenus_fabricii
Erignathus_barbatus,Lumpenus_lampretaeformis
Erignathus_barbatus,Lycodes_reticulatus
Erignathus_barbatus,Lycodes_seminudus
Erignathus_barbatus,Myoxocephalus_scorpius
Erignathus_barbatus,Fish_larvae
Lagenorhynchus_albirostris,Gonatus_fabricii
Lagenorhynchus_albirostris,Boreogadus_saida
Lagenorhynchus_albirostris,Mallotus_villosus
Megaptera_novaeangliae,Calanus_finmarchicus
Megaptera_novaeangliae,Calanus_glacialis
Megaptera_novaeangliae,Calanus_hyperboreus
Megaptera_novaeangliae,Themisto_abyssorum
Megaptera_novaeangliae,Themisto_libellula
Megaptera_novaeangliae,Thysanoessa_inermis
Megaptera_novaeangliae,Thysanoessa_longicaudata
Megaptera_novaeangliae,Boreogadus_saida
Megaptera_novaeangliae,Mallotus_villosus
Megaptera_novaeangliae,Fish_larvae
Megaptera_novaeangliae,Reinhardtius_hippoglossoides
Monodon_monoceros,Gonatus_fabricii
Monodon_monoceros,Pandalus_borealis
Monodon_monoceros,Arctogadus_glacialis
Monodon_monoceros,Boreogadus_saida
Monodon_monoceros,Mallotus_villosus
Monodon_monoceros,Reinhardtius_hippoglossoides
Odobenus_rosmarus,Astarte_sp
Odobenus_rosmarus,Buccinum_sp
Odobenus_rosmarus,Chlamys_islandica
Odobenus_rosmarus,Hyas_sp
Odobenus_rosmarus,Pagurus_sp
Odobenus_rosmarus,Sclerocrangon_ferox
Odobenus_rosmarus,Strongylocentrotus_sp
Odobenus_rosmarus,Boreogadus_saida
Odobenus_rosmarus,Liparis_fabricii
Odobenus_rosmarus,Liparis_gibbus
Odobenus_rosmarus,Myoxocephalus_scorpius
Odobenus_rosmarus,Erignathus_barbatus
Odobenus_rosmarus,Pagophilus_groenlandicus
Odobenus_rosmarus,Phoca_hispida
Orcinus_orca,Gonatus_fabricii
Orcinus_orca,Fish_larvae
Orcinus_orca,Alle_alle
Orcinus_orca,Fulmarus_glacialis
Orcinus_orca,Delphinapterus_leucas
Orcinus_orca,Monodon_monoceros
Pagophilus_groenlandicus,Gammarus_wilkitzkii
Pagophilus_groenlandicus,Themisto_libellula
Pagophilus_groenlandicus,Thysanoessa_inermis
Pagophilus_groenlandicus,Thysanoessa_longicaudata
Pagophilus_groenlandicus,Gonatus_fabricii
Pagophilus_groenlandicus,Pandalus_borealis
Pagophilus_groenlandicus,Sabinea_sp
Pagophilus_groenlandicus,Scalibregma_inflatum
Pagophilus_groenlandicus,Boreogadus_saida
Pagophilus_groenlandicus,Hippoglossoides_platessoides
Pagophilus_groenlandicus,Liparis_fabricii
Pagophilus_groenlandicus,Liparis_gibbus
Pagophilus_groenlandicus,Mallotus_villosus
Pagophilus_groenlandicus,Reinhardtius_hippoglossoides
Phoca_hispida,Gammarus_wilkitzkii
Phoca_hispida,Metridia_longa
Phoca_hispida,Onisimus_glacialis
Phoca_hispida,Themisto_libellula
Phoca_hispida,Thysanoessa_inermis
Phoca_hispida,Thysanoessa_longicaudata
Phoca_hispida,Astarte_sp
Phoca_hispida,Foraminifera
Phoca_hispida,Gonatus_fabricii
Phoca_hispida,Pandalus_borealis
Phoca_hispida,Sabinea_sp
Phoca_hispida,Sclerocrangon_ferox
Phoca_hispida,Arctogadus_glacialis
Phoca_hispida,Boreogadus_saida
Phoca_hispida,Hippoglossoides_platessoides
Phoca_hispida,Liparis_fabricii
Phoca_hispida,Liparis_gibbus
Phoca_hispida,Lycodes_reticulatus
Phoca_hispida,Lycodes_seminudus
Ursus_maritimus,Delphinapterus_leucas
Ursus_maritimus,Erignathus_barbatus
Ursus_maritimus,Odobenus_rosmarus
Ursus_maritimus,Pagophilus_groenlandicus
Ursus_maritimus,Phoca_hispida
